"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "comment", "blank", "total"
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\game\bannedword.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 1, 32
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\general\help.ts", "TypeScript", 0, 0, 0, 0, 138, 5, 10, 153
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\general\info.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 2, 58
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\anal.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\boobs.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\cat.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\dog.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\feet.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\fox.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\hentai.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\kitsune.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\neko.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\pussy.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\trap.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\yuri.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\ban.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 5, 62
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\clear.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 6, 35
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\kick.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 5, 60
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\mute.ts", "TypeScript", 0, 0, 0, 0, 66, 0, 9, 75
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\muterole.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 4, 43
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\unmute.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 9, 72
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\djrole.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 4, 40
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\loop.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 5, 39
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\np.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 3, 22
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\pause.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 5, 44
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\play.ts", "TypeScript", 0, 0, 0, 0, 197, 0, 31, 228
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\queue.ts", "TypeScript", 0, 0, 0, 0, 107, 0, 33, 140
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\remove.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 8, 45
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\resume.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 5, 44
